,,,,,,,,,,
,,,"4LF321 A, 3 TI, SO, L, Gheorghita_A_B",,,,,,,
,,,,,,,,,,
VINERI,"2, AIA, MN, C, Itu_L_M","4LF421 A, 3 AIA, SO, L, Demeter_R","4LF422 B, 3 AIA, SO, L, Demeter_R","4LF422 A, 3 AIA, SO, L, Vantu_A","4LF423 A, 3 AIA, SO, L, Vantu_A","4LF423 B, 3 AIA, SO, L, Vantu_A",,,,
,,,,,,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIII13,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,,,"4LF321 A, 3 TI, MIS, L, Danila_A","4, RO, MISM, C, Danila_A","4LF811 A, 4 RO, MISM, L, Danila_A","4MF131 A, 2 SATI, MIPPD, L, Danila_A","2, SATI, MIPPD, C, Danila_A",,,
,,,"4LF321 B, 3 TI, MIS, L, Danila_A",,,,,,,
,,,,,,,,,,
MARTI,"4LF423 A, 3 AIA, IS, L, Danila_A","4LF811 B, 4 RO, MISM, L, Danila_A",,"4LF111 A, 4 ET, AE, L, Diaconu_L_I",,,,,,
,"4LF322 A, 3 TI, MIS, L, Danila_A",,,"4LF111 B, 4 ET, AE, L, Diaconu_L_I","4LF413 A, 4 AIA, CAE, L, Diaconu_L_I","4LF423 B, 3 AIA, IS, L, Danila_A",,,,
,,,,,,,,,,
MIERCURI,"4LF512 A, 4 IEC, AE, L, Danila_A","4LF511 A, 4 IEC, AE, L, Danila_A",,,,"4LF322 B, 3 TI, MIS, L, Danila_A",,,,
,,,,,,,,,,
,,,,,,,,,,
JOI,"4LF421 A, 3 AIA, IS, L, Danila_A","4LF532 , 2 IEC, TS, S, Danila_A","4LF422 A, 3 AIA, IS, L, Danila_A","4LF531 , 2 IEC, TS, S, Danila_A","4LF412 A, 4 AIA, CAE, L, Diaconu_L_I","4LF411 A, 4 AIA, CAE, L, Diaconu_L_I",,,,
